town,destination,typical_minutes,fastest_minutes,via_station,peak_departures,limited_service,contains_destination
Abington,backbay,46,44,Abington,4,no,no
Abington,downtown,39,38,Abington,3,no,no
Abington,kendall,46,44,Abington,3,no,no
Abington,longwood,63,59,Abington,3,no,no
Abington,seaport,42,42,Abington,3,no,no
Acton,backbay,68,49,South Acton,6,no,no
Acton,downtown,58,41,South Acton,6,no,no
Acton,kendall,53,37,South Acton,5,no,no
Acton,longwood,81,63,South Acton,6,no,no
Acton,seaport,64,48,South Acton,6,no,no
Andover,backbay,51,47,Ballardvale,2,yes,no
Andover,downtown,43,39,Ballardvale,2,yes,no
Andover,kendall,56,53,Ballardvale,2,yes,no
Andover,longwood,72,69,Ballardvale,2,yes,no
Andover,seaport,54,50,Ballardvale,2,yes,no
Ashland,backbay,50,46,Ashland,6,no,no
Ashland,downtown,56,52,Ashland,6,no,no
Ashland,kendall,64,60,Ashland,6,no,no
Ashland,longwood,84,76,Ashland,6,no,no
Ashland,seaport,58,56,Ashland,6,no,no
Attleboro,backbay,49,43,Attleboro,7,no,no
Attleboro,downtown,54,47,Attleboro,7,no,no
Attleboro,kendall,61,56,Attleboro,5,no,no
Attleboro,longwood,77,72,Attleboro,5,no,no
Attleboro,seaport,56,51,Attleboro,7,no,no
Ayer,backbay,80,63,Ayer,4,no,no
Ayer,downtown,72,55,Ayer,4,no,no
Ayer,kendall,67,51,Ayer,3,no,no
Ayer,longwood,92,77,Ayer,4,no,no
Ayer,seaport,78,62,Ayer,4,no,no
Belmont,backbay,30,28,Belmont,3,no,no
Belmont,downtown,21,21,Belmont,3,no,no
Belmont,kendall,16,16,Belmont,2,yes,no
Belmont,longwood,44,39,Belmont,3,no,no
Belmont,seaport,27,26,Belmont,3,no,no
Beverly,backbay,52,47,Beverly,8,no,no
Beverly,downtown,42,41,Beverly,8,no,no
Beverly,kendall,54,49,Beverly,8,no,no
Beverly,longwood,69,63,Beverly,8,no,no
Beverly,seaport,54,50,Beverly,8,no,no
Billerica,backbay,51,48,North Billerica,8,no,no
Billerica,downtown,42,39,North Billerica,9,no,no
Billerica,kendall,56,49,North Billerica,8,no,no
Billerica,longwood,68,63,North Billerica,8,no,no
Billerica,seaport,52,50,North Billerica,8,no,no
Boston,backbay,0,0,Back Bay,25,no,yes
Boston,downtown,0,0,Downtown Crossing,25,no,yes
Boston,kendall,2,2,Charles/MGH,27,no,no
Boston,longwood,0,0,Longwood Medical Area,27,no,yes
Boston,seaport,0,0,Courthouse,25,no,yes
Braintree,backbay,32,28,Braintree,25,no,no
Braintree,downtown,25,23,Braintree,24,no,no
Braintree,kendall,33,31,Braintree,23,no,no
Braintree,longwood,48,45,Braintree,22,no,no
Braintree,seaport,28,25,Braintree,24,no,no
